rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,60_day_eng_rate_percent,influence_score_percent,avg_likes_per_post_calc
138,kapilsharma,83.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,83.0,
139,badbunnypr,83.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,83.0,
140,britneyspears,80.0,0.0,0.0,0.0,0.0,0.0,0.0,Turkey,0.0,80.0,
141,j.m,83.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,83.0,
142,mariliamendoncacantora,73.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil,0.0,73.0,
143,norafatehi,83.0,0.0,0.0,0.0,0.0,0.0,0.0,Anguilla,0.0,83.0,
144,theweeknd,83.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,83.0,
145,dior,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,85.0,
146,ranveersingh,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland,0.0,85.0,
147,marinaruybarbosa,81.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil,0.0,81.0,
148,jenniferaniston,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,85.0,
149,addisonraee,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,85.0,
150,andresiniesta8,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain,0.0,85.0,
151,princessyahrini,81.0,0.0,0.0,0.0,0.0,0.0,0.0,Indonesia,0.0,81.0,
152,liverpoolfc,75.0,0.0,0.0,0.0,0.0,0.0,0.0,United Kingdom,0.0,75.0,
153,teddysphotos,80.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,80.0,
154,worldstar,78.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,78.0,
155,natashawilona12,84.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,84.0,
156,mahi7781,58.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,58.0,
157,georginagio,74.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,74.0,
158,cznburak,80.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,80.0,
